,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Birth Month
61,60,Jordan Beyer,GER,DF,Burnley,23,2000,13.7,0,5,0,0,0.36,0,0,,8.2,0,0,0,0.5,0.5,0.1,-0.5,-0.5,Matches,October
62,61,Philip Billing,DEN,MF,Bournemouth,27,1996,14.9,2,29,8,27.6,1.95,0.54,0.07,0.25,20.4,7,0,0,2.4,2.4,0.08,-0.4,-0.4,Matches,November
63,62,Yves Bissouma,MLI,MF,Tottenham,27,1996,19.5,0,23,5,21.7,1.18,0.26,0,0,25,1,0,0,1.4,1.4,0.06,-1.4,-1.4,Matches,January
64,63,Benicio Boaitey,ENG,"DF,FW",Brighton,20,2004,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,May
65,64,Oscar Bobb,NOR,"FW,MF",Manchester City,20,2003,3.1,1,4,1,25,1.28,0.32,0.25,1,11.1,0,0,0,1.4,1.4,0.35,-0.4,-0.4,Matches,November
66,65,Jayden Bogle,ENG,DF,Sheffield Utd,23,2000,24.3,2,23,8,34.8,0.95,0.33,0.09,0.25,16.6,0,0,0,1.6,1.6,0.07,0.4,0.4,Matches,December
67,66,Willy Boly,CIV,DF,Nott'ham Forest,33,1991,12.1,1,12,5,41.7,1,0.41,0.08,0.2,10.6,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Matches,July
68,67,Sven Botman,NED,DF,Newcastle Utd,24,2000,15.3,2,10,2,20,0.65,0.13,0.2,1,10.5,0,0,0,0.6,0.6,0.06,1.4,1.4,Matches,June
69,68,Jarrod Bowen,ENG,FW,West Ham,27,1996,30.5,15,70,32,45.7,2.29,1.05,0.21,0.47,14.1,0,0,0,9.7,9.7,0.14,5.3,5.3,Matches,May
70,69,Conor Bradley,NIR,DF,Liverpool,20,2003,7.6,1,12,4,33.3,1.57,0.52,0.08,0.25,17.3,0,0,0,0.9,0.9,0.07,0.1,0.1,Matches,November
71,70,Jarrad Branthwaite,ENG,DF,Everton,21,2002,28,2,9,3,33.3,0.32,0.11,0.22,0.67,13.7,0,0,0,1.4,1.4,0.16,0.6,0.6,Matches,November
72,71,Ben Brereton,CHI,"FW,MF",Sheffield Utd,24,1999,5.5,4,11,7,63.6,2,1.27,0.36,0.57,13.3,0,0,0,2.4,2.4,0.22,1.6,1.6,Matches,September
73,72,Rhian Brewster,ENG,"FW,MF",Sheffield Utd,24,2000,3.4,0,6,3,50,1.76,0.88,0,0,23.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,August
74,73,Armando Broja,ALB,FW,Chelsea,22,2001,5,1,13,2,15.4,2.58,0.4,0.08,0.5,11.1,0,0,0,2.4,2.4,0.18,-1.4,-1.4,Matches,January
75,74,Armando Broja,ALB,FW,Fulham,22,2001,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,January
76,75,Andre Brooks,ENG,"MF,DF",Sheffield Utd,20,2003,7.4,0,5,1,20,0.68,0.14,0,0,20.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,January
77,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
78,76,David Brooks,WAL,"FW,MF",Bournemouth,26,1997,3.1,1,13,5,38.5,4.15,1.6,0.08,0.2,17.4,0,0,0,2.2,2.2,0.17,-1.2,-1.2,Matches,December
79,77,Jacob Brown,SCO,"MF,FW",Luton Town,25,1998,11.3,2,26,6,23.1,2.3,0.53,0.08,0.33,14.1,0,0,0,2.8,2.8,0.11,-0.8,-0.8,Matches,September
80,78,Josh Brownhill,ENG,MF,Burnley,28,1995,23.3,3,25,9,36,1.07,0.39,0.12,0.33,20.6,0,0,0,1.6,1.6,0.06,1.4,1.4,Matches,May
81,79,Jacob Bruun Larsen,DEN,"MF,FW",Burnley,25,1998,9.4,4,29,9,31,3.07,0.95,0.1,0.33,20.4,9,1,1,3.6,2.8,0.1,0.4,0.2,Matches,February
82,80,Hugo Bueno,ESP,"DF,MF",Wolves,21,2002,5.9,0,4,0,0,0.68,0,0,,17.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,February
83,81,Santiago Bueno,URU,DF,Wolves,25,1998,5.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,April
84,82,Facundo Buonanotte,ARG,"FW,MF",Brighton,19,2004,11.8,3,18,7,38.9,1.52,0.59,0.17,0.43,17.6,0,0,0,2,2,0.11,1,1,Matches,May
85,83,Reece Burke,ENG,DF,Luton Town,27,1996,14,0,12,3,25,0.86,0.21,0,0,13.4,0,0,0,1.3,1.3,0.13,-1.3,-1.3,Matches,January
86,84,Dan Burn,ENG,DF,Newcastle Utd,31,1992,23.3,2,17,5,29.4,0.73,0.21,0.12,0.4,8.8,0,0,0,2.5,2.5,0.16,-0.5,-0.5,Matches,October
87,85,Mason Burstow,ENG,FW,Chelsea,20,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,December
88,86,Moisés Caicedo,ECU,MF,Chelsea,22,2001,24.1,0,8,1,12.5,0.33,0.04,0,0,26.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,March
89,87,Tom Cairney,SCO,MF,Fulham,33,1991,15.4,1,15,6,40,0.97,0.39,0.07,0.17,20.4,0,0,0,1,1,0.07,0,0,Matches,June
90,88,Dominic Calvert-Lewin,ENG,FW,Everton,27,1997,19.8,5,59,21,35.6,2.97,1.06,0.07,0.19,12.9,0,1,1,10.9,10.1,0.17,-5.9,-6.1,Matches,August
91,89,Thomas Cannon,IRL,FW,Everton,21,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,May
92,90,Diego Carlos,BRA,DF,Aston Villa,31,1993,16,0,7,1,14.3,0.44,0.06,0,0,8.3,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches,August
93,91,Cesare Casadei,ITA,"MF,FW",Chelsea,21,2003,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,May
94,92,Casemiro,BRA,MF,Manchester Utd,32,1992,15,1,28,6,21.4,1.86,0.4,0.04,0.17,17.1,1,0,0,2.7,2.7,0.1,-1.7,-1.7,Matches,July
95,93,Matty Cash,POL,DF,Aston Villa,26,1997,21.1,2,31,13,41.9,1.47,0.62,0.06,0.15,15.4,0,0,0,4.1,4.1,0.14,-2.1,-2.1,Matches,January
96,94,Timothy Castagne,BEL,DF,Fulham,28,1995,24.3,0,12,3,25,0.49,0.12,0,0,11.4,0,0,0,1.4,1.4,0.12,-1.4,-1.4,Matches,May
97,95,Jonny Castro,ESP,MF,Wolves,30,1994,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,August
98,96,Trevoh Chalobah,ENG,DF,Chelsea,24,1999,3.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,November
99,97,Calum Chambers,ENG,"DF,MF",Aston Villa,29,1995,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,June
100,98,Youssef Chermiti,POR,FW,Everton,19,2004,0.9,0,4,1,25,4.62,1.15,0,0,13.5,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches,October
101,99,Ben Chilwell,ENG,DF,Chelsea,27,1996,8.3,0,11,3,27.3,1.33,0.36,0,0,16.7,1,0,0,1.2,1.2,0.11,-1.2,-1.2,Matches,May
102,100,Tawanda Chirewa,ENG,MF,Wolves,20,2003,0.4,0,1,0,0,2.43,0,0,,12.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,February
103,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
104,101,Leon Chiwome,ENG,FW,Wolves,18,2006,1.9,0,2,0,0,1.03,0,0,,11.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,May
105,102,Tahith Chong,NED,MF,Luton Town,24,1999,16.3,4,27,7,25.9,1.66,0.43,0.15,0.57,16.5,0,0,0,2.5,2.5,0.09,1.5,1.5,Matches,April
106,103,Ryan Christie,SCO,MF,Bournemouth,29,1995,26.3,0,33,12,36.4,1.25,0.46,0,0,19.8,0,0,0,1.6,1.6,0.05,-1.6,-1.6,Matches,July
107,104,Carney Chukwuemeka,ENG,"MF,FW",Chelsea,20,2003,2.3,1,3,2,66.7,1.3,0.87,0.33,0.5,19.9,0,0,0,0.2,0.2,0.05,0.8,0.8,Matches,March
108,105,Bobby Clark,ENG,MF,Liverpool,19,2005,1,0,2,0,0,2.02,0,0,,18.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,June
109,106,Jordan Clark,ENG,MF,Luton Town,30,1993,10.6,1,12,3,25,1.14,0.28,0.08,0.33,15.5,0,0,0,0.8,0.8,0.07,0.2,0.2,Matches,February
110,107,Nathaniel Clyne,ENG,"DF,MF",Crystal Palace,33,1991,8.2,0,2,0,0,0.24,0,0,,23,0,0,0,0,0,0.02,0,0,Matches,September
111,108,Séamus Coleman,IRL,DF,Everton,35,1988,4.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,March
112,109,Nathan Collins,IRL,DF,Brentford,22,2001,24.5,1,10,2,20,0.41,0.08,0.1,0.5,9.9,0,0,0,1.7,1.7,0.17,-0.7,-0.7,Matches,September
113,110,Levi Colwill,ENG,DF,Chelsea,21,2003,20,1,11,3,27.3,0.55,0.15,0.09,0.33,11.9,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches,July
114,111,Lewis Cook,ENG,MF,Bournemouth,27,1997,24,0,10,3,30,0.42,0.13,0,0,22.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,July
115,112,Jack Cork,ENG,MF,Burnley,34,1989,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,November
116,113,Maxwel Cornet,CIV,"MF,FW",West Ham,27,1996,1.2,1,4,1,25,3.43,0.86,0.25,1,12.5,0,0,0,0.4,0.4,0.1,0.6,0.6,Matches,February
117,114,Vladimír Coufal,CZE,DF,West Ham,31,1992,29,0,4,1,25,0.14,0.03,0,0,21.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,January
118,115,Philippe Coutinho,BRA,"MF,FW",Aston Villa,31,1992,0.3,0,3,1,33.3,10.8,3.6,0,0,24.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,November
119,116,Aaron Cresswell,ENG,"DF,FW",West Ham,34,1989,3.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,May
120,117,Marc Cucurella,ESP,DF,Chelsea,25,1998,11.8,0,6,4,66.7,0.51,0.34,0,0,14.6,0,0,0,0.9,0.9,0.16,-0.9,-0.9,Matches,December
121,118,Josh Cullen,IRL,MF,Burnley,28,1996,17,1,10,3,30,0.59,0.18,0.1,0.33,24.8,0,0,0,0.3,0.3,0.03,0.7,0.7,Matches,September
122,119,Matheus Cunha,BRA,"FW,MF",Wolves,24,1999,22.4,9,60,30,50,2.68,1.34,0.13,0.27,18.5,0,1,1,8.2,7.4,0.12,0.8,0.6,Matches,October
123,120,Mahmoud Dahoud,GER,MF,Brighton,28,1996,5,0,6,1,16.7,1.19,0.2,0,0,26.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,May
124,121,Ameen Al-Dakhil,BEL,DF,Burnley,22,2002,11.7,1,8,3,37.5,0.68,0.26,0.13,0.33,16,0,0,0,1.3,1.3,0.16,-0.3,-0.3,Matches,July
125,122,Diogo Dalot,POR,DF,Manchester Utd,25,1999,28.3,1,24,4,16.7,0.85,0.14,0.04,0.25,21.1,0,0,0,1,1,0.04,0,0,Matches,August
126,123,Mikkel Damsgaard,DEN,MF,Brentford,23,2000,5.4,0,6,3,50,1.1,0.55,0,0,16.3,1,0,0,0.8,0.8,0.13,-0.8,-0.8,Matches,November
127,124,Danilo,BRA,MF,Nott'ham Forest,22,2001,14.4,1,16,4,25,1.11,0.28,0.06,0.25,22.1,0,0,0,0.7,0.7,0.05,0.3,0.3,Matches,September
128,125,Arnaut Danjuma,NED,"MF,FW",Everton,27,1997,6.6,1,25,9,36,3.78,1.36,0.04,0.11,16,1,0,0,2.6,2.6,0.1,-1.6,-1.6,Matches,June
129,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
130,126,Jayden Danns,ENG,FW,Liverpool,18,2006,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,June
131,127,Josh Dasilva,ENG,"DF,FW",Brentford,25,1998,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,March
132,128,David Datro Fofana,CIV,FW,Burnley,21,2002,8.3,4,16,9,56.3,1.93,1.09,0.25,0.44,14.8,0,0,0,3.7,3.7,0.23,0.3,0.3,Matches,May
133,129,Ben Davies,WAL,DF,Tottenham,30,1993,11.1,1,12,2,16.7,1.08,0.18,0.08,0.5,11.8,0,0,0,2.3,2.3,0.19,-1.3,-1.3,Matches,September
134,130,Tom Davies,ENG,MF,Sheffield Utd,25,1998,2.5,0,4,1,25,1.63,0.41,0,0,15.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,November
135,131,Craig Dawson,ENG,DF,Wolves,33,1990,24.5,1,16,5,31.3,0.65,0.2,0.06,0.2,11.2,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches,October
136,132,Kevin De Bruyne,BEL,MF,Manchester City,32,1991,7.5,3,21,6,28.6,2.81,0.8,0.14,0.5,22.2,4,0,0,1.1,1.1,0.05,1.9,1.9,Matches,November
137,133,Hannes Delcroix,BEL,DF,Burnley,25,1999,6.5,0,4,2,50,0.61,0.31,0,0,11.2,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,July
138,134,Leander Dendoncker,BEL,MF,Aston Villa,28,1995,1.3,1,2,1,50,1.51,0.76,0.5,1,12.5,0,0,0,0.7,0.7,0.37,0.3,0.3,Matches,September
139,135,Moussa Diaby,FRA,"FW,MF",Aston Villa,24,1999,19.1,5,44,17,38.6,2.3,0.89,0.11,0.29,16.2,0,0,0,5.2,5.2,0.12,-0.2,-0.2,Matches,November
140,136,Amad Diallo,CIV,FW,Manchester Utd,21,2002,0.5,0,1,1,100,1.87,1.87,0,0,14.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,November
141,137,Amadou Diallo,ENG,MF,Newcastle Utd,21,2003,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,July
142,138,Rúben Dias,POR,DF,Manchester City,26,1997,24.4,0,16,7,43.8,0.65,0.29,0,0,14.2,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches,October
143,139,Luis Díaz,COL,FW,Liverpool,27,1997,23.4,8,80,26,32.5,3.42,1.11,0.1,0.31,15.4,0,0,0,10.3,10.3,0.13,-2.3,-2.3,Matches,June
144,140,Eric Dier,ENG,DF,Tottenham,30,1994,2.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,June
145,141,Lucas Digne,FRA,DF,Aston Villa,30,1993,20.8,1,17,4,23.5,0.82,0.19,0.06,0.25,19.7,5,0,0,0.9,0.9,0.05,0.1,0.1,Matches,December
146,142,Issa Diop,FRA,DF,Fulham,27,1997,12.8,0,4,1,25,0.31,0.08,0,0,15.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,June
147,143,Axel Disasi,FRA,DF,Chelsea,26,1998,27.6,2,15,4,26.7,0.54,0.15,0.13,0.5,10.8,0,0,0,1.5,1.5,0.1,0.5,0.5,Matches,August
148,144,Ben Doak,SCO,FW,Liverpool,18,2005,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,March
149,145,Lewis Dobbin,ENG,MF,Everton,21,2003,2.3,1,5,2,40,2.14,0.86,0.2,0.5,15.6,0,0,0,0.3,0.3,0.06,0.7,0.7,Matches,May
150,146,Matt Doherty,IRL,"DF,MF",Wolves,32,1992,8.6,1,7,2,28.6,0.81,0.23,0.14,0.5,11,0,0,0,0.7,0.7,0.1,0.3,0.3,Matches,June
151,147,Jeremy Doku,BEL,"FW,MF",Manchester City,21,2002,14.5,2,39,12,30.8,2.68,0.83,0.05,0.17,16.6,0,0,0,1.6,1.6,0.04,0.4,0.4,Matches,October
152,148,Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,25,1998,15.4,2,21,6,28.6,1.36,0.39,0.1,0.33,16.9,0,0,0,1.3,1.3,0.06,0.7,0.7,Matches,November
153,149,Jamie Donley,ENG,FW,Tottenham,19,2005,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,May
154,150,Gabriel Dos Santos,BRA,DF,Arsenal,26,1997,27.2,4,28,10,35.7,1.03,0.37,0.14,0.4,7.5,0,0,0,4,4,0.14,0,0,Matches,May
155,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
156,151,Abdoulaye Doucouré,MLI,"FW,MF",Everton,31,1993,22.9,6,40,18,45,1.75,0.79,0.15,0.33,12.4,0,0,0,6.7,6.7,0.18,-0.7,-0.7,Matches,June
157,152,Cheick Doucouré,MLI,MF,Crystal Palace,24,2000,10.2,0,6,2,33.3,0.59,0.2,0,0,21.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,June
158,153,Alfie Doughty,ENG,DF,Luton Town,24,1999,26.6,1,22,4,18.2,0.83,0.15,0.05,0.25,16.2,1,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches,May
159,154,Tommy Doyle,ENG,MF,Wolves,22,2001,10.8,0,11,3,27.3,1.02,0.28,0,0,25.4,2,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,March
160,155,Radu Drăgușin,ROU,DF,Tottenham,22,2002,2.6,0,1,0,0,0.39,0,0,,10.4,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches,June
161,156,Martin Dúbravka,SVK,GK,Newcastle Utd,35,1989,16.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,June
162,157,Paul Dummett,WAL,DF,Newcastle Utd,32,1991,0.2,0,1,0,0,5,0,0,,16.1,0,0,0,0,0,0.02,0,0,Matches,February
163,158,Lewis Dunk,ENG,DF,Brighton,32,1991,26.4,3,31,11,35.5,1.18,0.42,0.1,0.27,13.7,4,0,0,3,3,0.1,0,0,Matches,April
164,159,Jhon Durán,COL,"FW,MF",Aston Villa,20,2003,3.8,3,14,5,35.7,3.64,1.3,0.21,0.6,16.2,0,0,0,1.5,1.5,0.11,1.5,1.5,Matches,May
165,160,Ederson,BRA,GK,Manchester City,30,1993,25.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,January
166,161,Odsonne Édouard,FRA,"FW,MF",Crystal Palace,26,1998,16.1,7,49,18,36.7,3.04,1.12,0.14,0.39,13.5,3,0,0,6.2,6.2,0.13,0.8,0.8,Matches,June
167,162,John Egan,IRL,DF,Sheffield Utd,31,1992,5.4,0,3,1,33.3,0.56,0.19,0,0,10.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,March
168,163,Hjalmar Ekdal,SWE,DF,Burnley,25,1998,3.6,0,2,1,50,0.55,0.28,0,0,16.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,March
169,164,Anthony Elanga,SWE,"FW,MF",Nott'ham Forest,21,2002,23.9,5,51,21,41.2,2.13,0.88,0.1,0.24,15.8,0,0,0,6.5,6.5,0.13,-1.5,-1.5,Matches,September
170,165,Harvey Elliott,ENG,"MF,FW",Liverpool,21,2003,10,2,32,10,31.3,3.2,1,0.06,0.2,22.3,1,0,0,1.4,1.4,0.04,0.6,0.6,Matches,August
171,166,Mohamed Elneny,EGY,MF,Arsenal,31,1992,0.3,0,2,1,50,6.43,3.21,0,0,25.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,December
172,167,Emerson,BRA,DF,Tottenham,25,1999,10.7,1,5,3,60,0.47,0.28,0.2,0.33,21.4,0,0,0,0.2,0.2,0.03,0.8,0.8,Matches,June
173,168,Julio Enciso,PAR,"MF,FW",Brighton,20,2004,2.6,0,16,6,37.5,6.1,2.29,0,0,22.3,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches,June
174,169,Wataru Endo,JPN,MF,Liverpool,31,1993,13.9,1,8,2,25,0.58,0.14,0.13,0.5,23.2,0,0,0,0.3,0.3,0.04,0.7,0.7,Matches,July
175,170,Christian Eriksen,DEN,MF,Manchester Utd,32,1992,9.9,1,9,4,44.4,0.91,0.41,0.11,0.25,21.5,1,0,0,0.7,0.7,0.08,0.3,0.3,Matches,July
176,171,Maxime Estève,FRA,DF,Burnley,21,2002,9.1,0,5,0,0,0.55,0,0,,18.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,October
177,172,Pervis Estupiñán,ECU,DF,Brighton,26,1998,13.7,2,11,6,54.5,0.8,0.44,0.18,0.33,18.8,0,0,0,1,1,0.09,1,1,Matches,June
178,173,Jonny Evans,NIR,DF,Manchester Utd,36,1988,12.3,0,1,0,0,0.08,0,0,,5.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,June
179,174,Eberechi Eze,ENG,"MF,FW",Crystal Palace,25,1998,17.3,6,57,22,38.6,3.29,1.27,0.09,0.23,21,10,1,1,6.2,5.4,0.09,-0.2,-0.4,Matches,November
180,175,Łukasz Fabiański,POL,GK,West Ham,38,1985,6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,September
181,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
182,176,Romain Faivre,FRA,"MF,DF",Bournemouth,25,1998,0.2,0,1,0,0,5,0,0,,14.3,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches,December
183,177,Ansu Fati,ESP,"MF,FW",Brighton,21,2002,5.5,2,23,10,43.5,4.22,1.83,0.09,0.2,14.3,0,0,0,3.3,3.3,0.14,-1.3,-1.3,Matches,March
184,178,Felipe,BRA,DF,Nott'ham Forest,34,1989,4.2,0,3,0,0,0.72,0,0,,16.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,October
185,179,Evan Ferguson,IRL,FW,Brighton,19,2004,15.2,6,33,20,60.6,2.17,1.32,0.18,0.3,15.5,0,0,0,4.6,4.6,0.14,1.4,1.4,Matches,March
186,180,Bruno Fernandes,POR,"MF,FW",Manchester Utd,29,1994,30,6,78,29,37.2,2.6,0.97,0.05,0.14,22.6,11,2,3,8,5.6,0.07,-2,-1.6,Matches,February
187,181,Enzo Fernández,ARG,MF,Chelsea,23,2001,23.8,3,44,13,29.5,1.85,0.55,0.05,0.15,21.4,2,1,2,6.1,4.5,0.1,-3.1,-2.5,Matches,June
188,182,John Fleck,SCO,"MF,DF",Sheffield Utd,32,1991,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,January
189,183,Mark Flekken,NED,GK,Brentford,30,1993,30.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,November
190,184,Phil Foden,ENG,"FW,MF",Manchester City,23,2000,27.2,14,90,38,42.2,3.31,1.4,0.16,0.37,18.4,2,0,0,9,9,0.1,5,5,Matches,October
191,185,Wes Foderingham,ENG,GK,Sheffield Utd,33,1991,24.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,June
192,186,Pablo Fornals,ESP,"MF,FW",West Ham,28,1996,4.7,0,7,3,42.9,1.48,0.63,0,0,20.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,July
193,187,Omari Forson,ENG,FW,Manchester Utd,19,2004,0.7,0,1,0,0,1.36,0,0,,21.6,0,0,0,0,0,0.03,0,0,Matches,December
194,188,Lyle Foster,RSA,"FW,MF",Burnley,23,2000,15.3,4,23,10,43.5,1.51,0.65,0.17,0.4,15.4,0,0,0,2.6,2.6,0.12,1.4,1.4,Matches,January
195,189,Matheus França,BRA,"MF,FW",Crystal Palace,20,2004,2.6,0,8,2,25,3.1,0.78,0,0,21.8,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,August
196,190,Nathan Fraser,IRL,FW,Wolves,19,2005,2,0,3,2,66.7,1.48,0.99,0,0,16.6,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,July
197,191,Cody Gakpo,NED,"FW,MF",Liverpool,24,1999,13.4,6,45,17,37.8,3.36,1.27,0.13,0.35,15.9,0,0,0,6.3,6.3,0.14,-0.3,-0.3,Matches,September
198,192,Conor Gallagher,ENG,MF,Chelsea,24,2000,26.9,3,40,14,35,1.49,0.52,0.08,0.21,21,0,0,0,3,3,0.07,0,0,Matches,June
199,193,Idrissa Gana Gueye,SEN,MF,Everton,34,1989,15.4,1,20,3,15,1.3,0.2,0.05,0.33,22.2,0,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches,March
200,194,Alejandro Garnacho,ARG,FW,Manchester Utd,19,2004,22.1,7,73,19,26,3.3,0.86,0.1,0.37,15.7,0,0,0,6.4,6.4,0.09,0.6,0.6,Matches,November
201,195,James Garner,ENG,MF,Everton,23,2001,28,1,33,10,30.3,1.18,0.36,0.03,0.1,22.3,4,0,0,2.3,2.3,0.07,-1.3,-1.3,Matches,August
202,196,Saman Ghoddos,IRN,DF,Brentford,30,1993,7.9,1,9,2,22.2,1.14,0.25,0.11,0.5,22.5,0,0,0,0.3,0.3,0.03,0.7,0.7,Matches,February
203,197,Morgan Gibbs-White,ENG,"MF,FW",Nott'ham Forest,24,2000,29.1,4,57,11,19.3,1.96,0.38,0.05,0.27,20.4,3,1,1,5.8,5,0.09,-1.8,-2,Matches,June
204,198,Bryan Gil,ESP,"FW,MF",Tottenham,23,2001,2.2,0,3,1,33.3,1.38,0.46,0,0,11.4,0,0,0,0.7,0.7,0.24,-0.7,-0.7,Matches,July
205,199,Alfie Gilchrist,ENG,DF,Chelsea,20,2003,0.4,0,2,0,0,4.5,0,0,,13.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,April
206,200,Billy Gilmour,SCO,MF,Brighton,22,2001,19.8,0,23,5,21.7,1.16,0.25,0,0,25.7,0,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches,October
207,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
208,201,Ben Godfrey,ENG,DF,Everton,26,1998,9.4,0,10,3,30,1.06,0.32,0,0,12.2,0,0,0,1.4,1.4,0.15,-1.4,-1.4,Matches,June
209,202,André Gomes,POR,"MF,FW",Everton,30,1993,3.8,1,7,4,57.1,1.86,1.06,0.14,0.25,21.7,2,0,0,0.3,0.3,0.04,0.7,0.7,Matches,December
210,203,João Gomes,BRA,MF,Wolves,23,2001,23.1,2,20,6,30,0.87,0.26,0.1,0.33,19.4,0,0,0,1.3,1.3,0.07,0.7,0.7,Matches,July
211,204,Toti Gomes,POR,DF,Wolves,25,1999,23.8,0,7,2,28.6,0.29,0.08,0,0,8,0,0,0,1,1,0.14,-1,-1,Matches,June
212,205,Joe Gomez,ENG,DF,Liverpool,26,1997,18.2,0,17,1,5.9,0.93,0.05,0,0,19.9,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches,October
213,206,Sergio Gómez,ESP,FW,Manchester City,23,2000,0.3,0,1,0,0,2.9,0,0,,9,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches,January
214,207,Anthony Gordon,ENG,FW,Newcastle Utd,23,2001,26.3,9,68,25,36.8,2.59,0.95,0.12,0.32,17.6,0,1,1,8.4,7.6,0.11,0.6,0.4,Matches,July
215,208,Kaide Gordon,ENG,FW,Liverpool,19,2004,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,February
