,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Birth Month
556,536,James Ward-Prowse,ENG,MF,West Ham,29,1994,28.9,6,36,13,36.1,1.25,0.45,0.11,0.31,22.8,13,2,2,5.7,4.1,0.12,0.3,-0.1,Matches,April
557,537,Deivid Washington,BRA,DF,Chelsea,18,2005,0.1,0,1,0,0,9,0,0,,9,0,0,0,0.5,0.5,0.47,-0.5,-0.5,Matches,October
558,538,Ollie Watkins,ENG,FW,Aston Villa,28,1995,30,18,91,42,46.2,3.03,1.4,0.2,0.43,12.5,0,0,0,15,15,0.17,3,3,Matches,May
559,539,Adam Webster,ENG,DF,Brighton,29,1995,8.5,0,5,0,0,0.59,0,0,,10.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,June
560,540,Danny Welbeck,ENG,"FW,MF",Brighton,33,1990,13.4,4,34,13,38.2,2.53,0.97,0.12,0.31,15.3,1,0,0,4,4,0.12,0,0,Matches,May
561,541,Timo Werner,GER,FW,Tottenham,28,1996,7.7,2,25,6,24,3.27,0.78,0.08,0.33,14.1,0,0,0,3.2,3.2,0.13,-1.2,-1.2,Matches,August
562,542,Adam Wharton,ENG,MF,Crystal Palace,19,2004,7.9,0,3,0,0,0.38,0,0,,23.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,October
563,543,Ben White,ENG,DF,Arsenal,26,1997,26.7,2,8,4,50,0.3,0.15,0.25,0.5,13.7,0,0,0,0.7,0.7,0.09,1.3,1.3,Matches,March
564,544,Joe White,ENG,MF,Newcastle Utd,21,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,February
565,545,Neco Williams,WAL,DF,Nott'ham Forest,22,2001,15.8,0,9,1,11.1,0.57,0.06,0,0,21.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,September
566,546,Willian,BRA,FW,Fulham,35,1988,20.4,4,41,15,36.6,2.01,0.74,0.05,0.13,20.6,2,2,2,4.9,3.4,0.08,-0.9,-1.4,Matches,January
567,547,Joe Willock,ENG,MF,Newcastle Utd,24,1999,4.7,1,7,3,42.9,1.5,0.64,0.14,0.33,10.9,0,0,0,0.8,0.8,0.12,0.2,0.2,Matches,January
568,548,Callum Wilson,ENG,FW,Newcastle Utd,32,1992,9.6,7,29,15,51.7,3.03,1.57,0.17,0.33,12.2,0,2,2,7.2,5.7,0.2,-0.2,-0.7,Matches,July
569,549,Harry Wilson,WAL,FW,Fulham,27,1997,16.3,3,35,11,31.4,2.14,0.67,0.09,0.27,19.3,3,0,0,3.1,3.1,0.09,-0.1,-0.1,Matches,August
570,550,Yoane Wissa,COD,FW,Brentford,27,1996,23.6,8,59,19,32.2,2.5,0.81,0.14,0.42,12.8,0,0,0,9.4,9.4,0.16,-1.4,-1.4,Matches,January
571,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
572,551,Chris Wood,NZL,FW,Nott'ham Forest,32,1991,14.3,12,31,19,61.3,2.17,1.33,0.39,0.63,10.6,0,0,0,7.8,7.8,0.25,4.2,4.2,Matches,May
573,552,Cauley Woodrow,ENG,"FW,MF",Luton Town,29,1994,3.7,1,10,3,30,2.73,0.82,0.1,0.33,16.5,0,0,0,1.1,1.1,0.11,-0.1,-0.1,Matches,May
574,553,Joe Worrall,ENG,DF,Nott'ham Forest,27,1997,4.9,0,2,0,0,0.41,0,0,,10.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,June
575,554,Yehor Yarmoliuk,UKR,MF,Brentford,20,2004,6.8,0,9,4,44.4,1.32,0.59,0,0,18.1,0,0,0,0.9,0.9,0.1,-0.9,-0.9,Matches,July
576,555,Ryan Yates,ENG,MF,Nott'ham Forest,26,1997,18.7,0,21,5,23.8,1.12,0.27,0,0,18,0,0,0,2,2,0.1,-2,-2,Matches,April
577,556,Ashley Young,ENG,"DF,MF",Everton,38,1985,19.1,0,12,2,16.7,0.63,0.1,0,0,22.1,3,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches,December
578,557,Illia Zabarnyi,UKR,DF,Bournemouth,21,2002,31,1,8,2,25,0.26,0.06,0.13,0.5,7.5,0,0,0,1.1,1.1,0.14,-0.1,-0.1,Matches,January
579,558,Nicolò Zaniolo,ITA,"MF,FW",Aston Villa,24,1999,8.3,2,25,9,36,3.02,1.09,0.08,0.22,13.9,0,0,0,2.3,2.3,0.09,-0.3,-0.3,Matches,November
580,559,Anass Zaroury,MAR,"FW,MF",Burnley,23,2000,1.7,0,3,1,33.3,1.78,0.59,0,0,20.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,March
581,560,Oleksandr Zinchenko,UKR,DF,Arsenal,27,1996,17.6,1,16,3,18.8,0.91,0.17,0.06,0.33,22.5,0,0,0,0.5,0.5,0.03,0.5,0.5,Matches,May
582,561,Kurt Zouma,FRA,DF,West Ham,29,1994,26.2,3,15,7,46.7,0.57,0.27,0.2,0.43,8.9,0,0,0,1.8,1.8,0.12,1.2,1.2,Matches,March
583,562,Martin Ødegaard,NOR,MF,Arsenal,25,1998,27.5,7,58,18,31,2.11,0.65,0.09,0.28,20.7,2,2,2,5.9,4.3,0.07,1.1,0.7,Matches,May
